Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",27.069157,25.37037,20.526891708196725,16.406940241935484
ESS,Essex Property Trust,reports,Real Estate,Residential REITs,"San Mateo, California",13.708591,11.408878,20.526891708196725,16.406940241935484
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",9.442348,10.570912,20.526891708196725,16.406940241935484
ETR,Entergy,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",16.527258,15.145914,20.526891708196725,16.406940241935484
ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",16.239437,8.388547,20.526891708196725,16.406940241935484
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",0,0,20.526891708196725,16.406940241935484
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",32.901787,13.418767,20.526891708196725,16.406940241935484
EXC,Exelon,reports,Utilities,Multi-Utilities,"Chicago, Illinois",5.9939537,25.05765,20.526891708196725,16.406940241935484
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",32.63589,21.927536,20.526891708196725,16.406940241935484
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",14.066661,13.545347,20.526891708196725,16.406940241935484
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",0,19.082758,20.526891708196725,16.406940241935484
F,Ford,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",14.262916,10.831777,20.526891708196725,16.406940241935484
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12.560438,10.111828,20.526891708196725,16.406940241935484
FAST,Fastenal,reports,Industrials,Building Products,"Winona, Minnesota",14.44481,10.932668,20.526891708196725,16.406940241935484
FB,Facebook,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",20.154905,6.445872,20.526891708196725,16.406940241935484
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",16.130905,13.98627,20.526891708196725,16.406940241935484
FCX,Freeport-McMoRan,reports,Materials,Copper,"Phoenix, Arizona",0,0,20.526891708196725,16.406940241935484
FDX,FedEx,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",20.579767,13.060631,20.526891708196725,16.406940241935484
FE,FirstEnergy,reports,Utilities,Electric Utilities,"Akron, Ohio",21.68976,25.642023,20.526891708196725,16.406940241935484
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",14.080943,9.260629,20.526891708196725,16.406940241935484
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",41.38856,30.181261,20.526891708196725,16.406940241935484
FISV,Fiserv,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",13.2902355,14.009197,20.526891708196725,16.406940241935484
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",0,,20.526891708196725,16.406940241935484
FLT,Fleetcor,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",53.27375,47.51282,20.526891708196725,16.406940241935484
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",10.995228,10.344711,20.526891708196725,16.406940241935484
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York City, New York",14.40171,11.119289,20.526891708196725,16.406940241935484
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York City, New York",32.919003,29.033747,20.526891708196725,16.406940241935484
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",13.743445,12.380293,20.526891708196725,16.406940241935484
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",33.515083,25.90328,20.526891708196725,16.406940241935484
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",12.759446,11.451117,20.526891708196725,16.406940241935484
FTV,Fortive,reports,Industrials,Industrial Machinery,"Everett, Washington",11.089789,8.998571,20.526891708196725,16.406940241935484
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",33.64249,20.69652,52.364035801694925,27.007512759677418
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",30.38056,14.724445,52.364035801694925,27.007512759677418
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",223.25739,17.966558,52.364035801694925,27.007512759677418
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",34.082336,26.473255,52.364035801694925,27.007512759677418
GL,Globe Life,reports,Financials,Life & Health Insurance,"McKinney, Texas",51.120907,39.905964,52.364035801694925,27.007512759677418
GLW,Corning,reports,Information Technology,Electronic Components,"Corning, New York",12.241746,7.1397514,2434.2089754,16.517298605555553
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",113.86667,24.251522,52.364035801694925,27.007512759677418
GNRC,Generac Holdings,reports,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",29.533792,7.8390336,52.364035801694925,27.007512759677418
GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",0,0,28.72323929411764,27.590495445454543
GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",26.018581,17.424208,28.72323929411764,27.590495445454543
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",28.145205,15.290787,52.364035801694925,27.007512759677418
